recipe_id,position,verdict,changed,raw_text,old_qty,new_qty,old_quantity,new_quantity,old_unit,new_unit,old_label,new_label
black-pepper-chicken,6,WRITE,qty unit,1/2 teaspoon coarsely ground black pepper,1/2 tsp,1/2 teaspoon,1/2,1/2,tsp,teaspoon,coarsely ground black pepper,coarsely ground black pepper
black-pepper-chicken,9,WRITE,qty unit,1 tablespoon oyster sauce,1 tbsp,1 tablespoon,1,1,tbsp,tablespoon,oyster sauce,oyster sauce
black-pepper-chicken,10,WRITE,qty unit,1 tablespoon light soy sauce,1 tbsp,1 tablespoon,1,1,tbsp,tablespoon,light soy sauce,light soy sauce
black-pepper-chicken,11,WRITE,qty unit,1 teaspoon sugar,1 tsp,1 teaspoon,1,1,tsp,teaspoon,sugar,sugar
black-pepper-chicken,12,WRITE,qty unit,2 teaspoons dark soy sauce,2 tsp,2 teaspoons,2,2,tsp,teaspoons,dark soy sauce,dark soy sauce
black-pepper-chicken,13,WRITE,qty unit,1/2 teaspoon sesame oil,1/2 tsp,1/2 teaspoon,1/2,1/2,tsp,teaspoon,sesame oil,sesame oil
black-pepper-chicken,14,WRITE,qty unit,3 tablespoons neutral oil (divided),3 tbsp,3 tablespoons,3,3,tbsp,tablespoons,neutral oil (divided),neutral oil (divided)
black-pepper-chicken,17,WRITE,qty unit,1 tablespoon Shaoxing wine,1 tbsp,1 tablespoon,1,1,tbsp,tablespoon,Shaoxing wine,Shaoxing wine
black-pepper-chicken,20,WRITE,qty unit,1 teaspoon coarsely ground black pepper,1 tsp,1 teaspoon,1,1,tsp,teaspoon,coarsely ground black pepper,coarsely ground black pepper
black-pepper-chicken,21,WRITE,qty unit,1 1/2 teaspoons cornstarch (mixed with 2 tablespoons water to form a cornstarch slurry),1 1/2 tsp,1 1/2 teaspoons,1 1/2,1 1/2,tsp,teaspoons,cornstarch (mixed with 2 tablespoons water to form a cornstarch slurry),cornstarch (mixed with 2 tablespoons water to form a cornstarch slurry)
brioche-cinnamon-rolls,10,WRITE,qty unit,1 Tbsp ground cinnamon,1 tbsp,1 Tbsp,1,1,tbsp,Tbsp,ground cinnamon,ground cinnamon
brioche-cinnamon-rolls,14,WRITE,qty unit,2 Tbsp milk at room temperature,2 tbsp,2 Tbsp,2,2,tbsp,Tbsp,milk at room temperature,milk at room temperature
bulgogi-bowls,21,WRITE,label,"lettuce, torn into bite-size pieces",1½ cups,1½ cups,1½,1½,cups,cups,,"lettuce, torn into bite-size pieces"
butter-chicken,1,WRITE,label,"1/2 cup plain yoghurt , full fat",1/2 cup,1/2 cup,1/2,1/2,cup,cup,"plain yoghurt , full fat","plain yoghurt, full fat"
cappuccino-muffins,5,WRITE,qty unit,Pinch of salt,pinch,Pinch,,,pinch,Pinch,salt,salt
cauliflower-soup,3,WRITE,label,Salt,,,,,,,,Salt
cauliflower-soup,5,WRITE,label,Extra-virgin olive oil,,,,,,,,Extra-virgin olive oil
cauliflower-soup,6,WRITE,label,Freshly ground black pepper,,,,,,,,Freshly ground black pepper
chicago-style-italian-beef-pot-roast-sandwich,1,WRITE,qty unit,4-5 pound Bottom Round of Beef,4-5 lb,4-5 pound,4-5,4-5,lb,pound,Bottom Round of Beef,Bottom Round of Beef
chicago-style-italian-beef-pot-roast-sandwich,4,WRITE,label qty unit,"1 Garlic Head, Sliced In Half",1,1 Head,1,1,,Head,"Garlic Head, Sliced In Half","Garlic, Sliced In Half"
chicago-style-italian-beef-pot-roast-sandwich,5,WRITE,label,French Rolls,,,,,,,,French Rolls
chicago-style-italian-beef-pot-roast-sandwich,6,WRITE,label,Roasted Bell Pepper,,,,,,,,Roasted Bell Pepper
chicago-style-italian-beef-pot-roast-sandwich,7,WRITE,label,Salt to taste,,,,,,,,Salt to taste
chicago-style-italian-beef-pot-roast-sandwich,9,WRITE,qty unit,1.5 Tbsp Fennel Seeds,1.5 tbsp,1.5 Tbsp,1.5,1.5,tbsp,Tbsp,Fennel Seeds,Fennel Seeds
chicago-style-italian-beef-pot-roast-sandwich,11,WRITE,qty unit,2 Tbsp Sweet Paprika,2 tbsp,2 Tbsp,2,2,tbsp,Tbsp,Sweet Paprika,Sweet Paprika
chicago-style-italian-beef-pot-roast-sandwich,12,WRITE,qty unit,2.5 Tbsp Dried Oregano,2.5 tbsp,2.5 Tbsp,2.5,2.5,tbsp,Tbsp,Dried Oregano,Dried Oregano
chicago-style-italian-beef-pot-roast-sandwich,13,WRITE,qty unit,2.5 Tbsp Dried Basil,2.5 tbsp,2.5 Tbsp,2.5,2.5,tbsp,Tbsp,Dried Basil,Dried Basil
chicago-style-italian-beef-pot-roast-sandwich,14,WRITE,qty unit,2.5 Tbsp Dried Thyme,2.5 tbsp,2.5 Tbsp,2.5,2.5,tbsp,Tbsp,Dried Thyme,Dried Thyme
chicago-style-italian-beef-pot-roast-sandwich,15,WRITE,qty unit,1.5 Tbsp Red Chili Flake,1.5 tbsp,1.5 Tbsp,1.5,1.5,tbsp,Tbsp,Red Chili Flake,Red Chili Flake
chicago-style-italian-beef-pot-roast-sandwich,16,WRITE,qty unit,1.5 Tbsp Black Peppercorns,1.5 tbsp,1.5 Tbsp,1.5,1.5,tbsp,Tbsp,Black Peppercorns,Black Peppercorns
chicken-chow-fun,18,WRITE,label qty unit,"1 medium garlic clove, chopped",1 medium,1 medium clove,1,1,medium,medium clove,"garlic clove, chopped","garlic, chopped"
chicken-marsala,7,WRITE,qty unit,8 Sprigs of Fresh Thyme,8 sprigs,8 Sprigs,8,8,sprigs,Sprigs,Fresh Thyme,Fresh Thyme
chicken-nachos,2,WRITE,label,"700 g / 1.2 lb chicken thighs or breast , skinless boneless",700 g,700 g,700,700,g,g,"chicken thighs or breast , skinless boneless","chicken thighs or breast, skinless boneless"
chicken-shawarma,2,WRITE,label qty unit,"1 large garlic clove, minced (or 2 small cloves)",1 large,1 large clove,1,1,large,large clove,"garlic clove, minced (or 2 small cloves)","garlic, minced (or 2 small cloves)"
chicken-shawarma,15,WRITE,label qty unit,Tomato slices,,slices,,,,slices,Tomato slices,Tomato
cinnamon-scones,2,WRITE,qty unit,3 teaspoons baking powder,3 tsp,3 teaspoons,3,3,tsp,teaspoons,baking powder,baking powder
cinnamon-scones,3,WRITE,qty unit,¼ teaspoon salt*,¼ tsp,¼ teaspoon,¼,¼,tsp,teaspoon,salt*,salt*
cinnamon-scones,4,WRITE,qty unit,1 ½ teaspoons cinnamon,1 ½ tsp,1 ½ teaspoons,1 ½,1 ½,tsp,teaspoons,cinnamon,cinnamon
cinnamon-scones,9,WRITE,qty unit,½ teaspoon vanilla,½ tsp,½ teaspoon,½,½,tsp,teaspoon,vanilla,vanilla
cinnamon-scones,12,WRITE,qty unit,½ teaspoon vanilla,½ tsp,½ teaspoon,½,½,tsp,teaspoon,vanilla,vanilla
cinnamon-scones,13,WRITE,qty unit,2 tablespoons maple syrup,2 tbsp,2 tablespoons,2,2,tbsp,tablespoons,maple syrup,maple syrup
cinnamon-scones,14,WRITE,qty unit,½ tablespoon cream,½ tbsp,½ tablespoon,½,½,tbsp,tablespoon,cream,cream
country-ham-croquettes-with-parsley-salad,19,WRITE,qty unit,Pinch kosher salt,pinch,Pinch,,,pinch,Pinch,kosher salt,kosher salt
eleni-s-sourdough-bread,4,WRITE,qty unit,Pinch of salt and pepper,pinch,Pinch,,,pinch,Pinch,salt and pepper,salt and pepper
fish-with-white-wine-sauce,1,WRITE,label,"4 x 150g / 5oz white fish fillets , skinless, boneless (I used snapper)",,,,,,,"4 x 150g / 5oz white fish fillets , skinless, boneless (I used snapper)","4 x 150g / 5oz white fish fillets, skinless, boneless (I used snapper)"
fish-with-white-wine-sauce,6,WRITE,label,"1 eschalot , small, finely chopped (~1 1/2 tbs)",1,1,1,1,,,"eschalot , small, finely chopped (~1 1/2 tbs)","eschalot, small, finely chopped (~1 1/2 tbs)"
fish-with-white-wine-sauce,7,WRITE,label,"1 1/4 cups white wine , dry, not sweet or too woody (chardonnay is especially good)",1 1/4 cups,1 1/4 cups,1 1/4,1 1/4,cups,cups,"white wine , dry, not sweet or too woody (chardonnay is especially good)","white wine, dry, not sweet or too woody (chardonnay is especially good)"
fish-with-white-wine-sauce,13,WRITE,label,"30g / 2 tbsp unsalted butter , cold, cut into 1cm / 1/3″ cubes",30 g,30 g,30,30,g,g,"unsalted butter , cold, cut into 1cm / 1/3″ cubes","unsalted butter, cold, cut into 1cm / 1/3″ cubes"
