recipe_id,position,verdict,changed,raw_text,old_qty,new_qty,old_quantity,new_quantity,old_unit,new_unit,old_label,new_label
panang-curry,8,"EXCLUDED: rule 2, the row carries an edit",label,"5 garlic cloves , finely minced",5 cloves,5 cloves,5,5,cloves,cloves,"garlic , finely minced","garlic, finely minced"
panang-curry,13,"EXCLUDED: rule 4, named in hand_repoints.csv",label,"1 1/4 cups coconut cream , full-fat",1 1/4 cups,1 1/4 cups,1 1/4,1 1/4,cups,cups,"coconut cream , full-fat","coconut cream, full-fat"
panang-curry,21,"EXCLUDED: rule 4, named in hand_repoints.csv",label,"2 tbsp unsalted peanuts , finely chopped",2 tbsp,2 tbsp,2,2,tbsp,tbsp,"unsalted peanuts , finely chopped","unsalted peanuts, finely chopped"
pepperoni-rolls,1,"EXCLUDED: rule 2, the row carries a note",label qty unit,"2 tablespoons olive oil, plus more for dough resting",2 tbsp,2 tablespoons,2,2,tbsp,tablespoons,olive oil,"olive oil, plus more for dough resting"
pepperoni-rolls,4,"EXCLUDED: rule 2, the row carries a note",label,"4 cups all-purpose flour, plus more for kneading and rolling 1½ teaspoons kosher salt",4 cups,4 cups,4,4,cups,cups,all-purpose flour,"all-purpose flour, plus more for kneading and rolling 1½ teaspoons kosher salt"
pepperoni-rolls,7,"EXCLUDED: rule 2, the row carries an edit",label,kosher salt,1½ tsp,1½ tsp,1½,1½,tsp,tsp,,kosher salt
spiced-scallops-with-saffron-beurre-blanc,8,"EXCLUDED: rule 2, the row carries an edit",qty unit,4 tosp white wine,4 tbsp,4 tosp,4,4,tbsp,tosp,white wine,white wine
tacos,2,"EXCLUDED: rule 2, the row carries an edit",label,"2 garlic cloves , minced",2 cloves,2 cloves,2,2,cloves,cloves,"garlic , minced","garlic, minced"
taiwanese-beef-noodle-soup,20,"EXCLUDED: rule 2, the row carries an edit",label qty unit,1 Chinese cinnamon stick,1 stick,1,1,1,stick,,Chinese cinnamon,Chinese cinnamon stick
thai-basil-chicken-2,3,"EXCLUDED: rule 2, the row carries an edit",label,"2 garlic cloves , large, finely chopped",2 cloves,2 cloves,2,2,cloves,cloves,"garlic , large, finely chopped","garlic, large, finely chopped"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,4,"EXCLUDED: rule 7, the new name opens with junk",label qty unit,"1½ pounds each), cleaned and cut in half crosswise",1½ lb,1½ pounds,1½,1½,lb,pounds,cleaned and cut in half crosswise,"each), cleaned and cut in half crosswise"
vietnamese-caramelised-pork,3,"EXCLUDED: rule 2, the row carries an edit",label,"2 garlic cloves , minced",2 cloves,2 cloves,2,2,cloves,cloves,"garlic , minced","garlic, minced"
