recipe_id,position,old_label,old_raw,new_label,new_raw,display_before,display_after
black-pepper-chicken,4,,"neutral oil (such as vegetable, canola, or avocado oil)","neutral oil (such as vegetable, canola, or avocado oil)","1 teaspoon neutral oil (such as vegetable, canola, or avocado oil)","neutral oil (such as vegetable, canola, or avocado oil)","neutral oil (such as vegetable, canola, or avocado oil)"
black-pepper-chicken,5,,oyster sauce,oyster sauce,2 teaspoons oyster sauce,oyster sauce,oyster sauce
black-pepper-chicken,6,,coarsely ground black pepper,coarsely ground black pepper,1/2 teaspoon coarsely ground black pepper,coarsely ground black pepper,coarsely ground black pepper
black-pepper-chicken,8,,low sodium chicken stock,low sodium chicken stock,1/2 cup low sodium chicken stock,low sodium chicken stock,low sodium chicken stock
black-pepper-chicken,9,,oyster sauce,oyster sauce,1 tablespoon oyster sauce,oyster sauce,oyster sauce
black-pepper-chicken,10,,light soy sauce,light soy sauce,1 tablespoon light soy sauce,light soy sauce,light soy sauce
black-pepper-chicken,11,,sugar,sugar,1 teaspoon sugar,sugar,sugar
black-pepper-chicken,12,,dark soy sauce,dark soy sauce,2 teaspoons dark soy sauce,dark soy sauce,dark soy sauce
black-pepper-chicken,13,,sesame oil,sesame oil,1/2 teaspoon sesame oil,sesame oil,sesame oil
black-pepper-chicken,14,,neutral oil (divided),neutral oil (divided),3 tablespoons neutral oil (divided),neutral oil (divided),neutral oil (divided)
black-pepper-chicken,15,,garlic (finely chopped),garlic (finely chopped),2 cloves garlic (finely chopped),garlic (finely chopped),garlic (finely chopped)
black-pepper-chicken,16,,onion (cut into wedges),onion (cut into wedges),1 medium onion (cut into wedges),onion (cut into wedges),onion (cut into wedges)
black-pepper-chicken,17,,Shaoxing wine,Shaoxing wine,1 tablespoon Shaoxing wine,Shaoxing wine,Shaoxing wine
black-pepper-chicken,18,,"bell pepper (any color, cut into 1-inch/2.5cm pieces)","bell pepper (any color, cut into 1-inch/2.5cm pieces)","1/2 bell pepper (any color, cut into 1-inch/2.5cm pieces)","bell pepper (any color, cut into 1-inch/2.5cm pieces)","bell pepper (any color, cut into 1-inch/2.5cm pieces)"
black-pepper-chicken,19,,celery (thinly sliced on an angle),celery (thinly sliced on an angle),1 stalk celery (thinly sliced on an angle),celery (thinly sliced on an angle),celery (thinly sliced on an angle)
black-pepper-chicken,20,,coarsely ground black pepper,coarsely ground black pepper,1 teaspoon coarsely ground black pepper,coarsely ground black pepper,coarsely ground black pepper
black-pepper-chicken,21,,cornstarch (mixed with 2 tablespoons water to form a cornstarch slurry),cornstarch (mixed with 2 tablespoons water to form a cornstarch slurry),1 1/2 teaspoons cornstarch (mixed with 2 tablespoons water to form a cornstarch slurry),cornstarch (mixed with 2 tablespoons water to form a cornstarch slurry),cornstarch (mixed with 2 tablespoons water to form a cornstarch slurry)
black-pepper-chicken,22,,water,water,2 tbsp water,water,water
brioche-cinnamon-rolls,0,,lukewarm milk (95-104°F),lukewarm milk (95-104°F),125 g lukewarm milk (95-104°F),lukewarm milk (95-104°F),lukewarm milk (95-104°F)
brioche-cinnamon-rolls,1,,instant yeast active dried yeast,instant yeast active dried yeast,2 ½ tsp instant yeast active dried yeast,instant yeast active dried yeast,instant yeast active dried yeast
brioche-cinnamon-rolls,2,,granulated sugar,granulated sugar,50 g granulated sugar,granulated sugar,granulated sugar
brioche-cinnamon-rolls,3,,all-purpose flour,all-purpose flour,600 g all-purpose flour,all-purpose flour,all-purpose flour
brioche-cinnamon-rolls,4,,eggs,eggs,5 large eggs,eggs,eggs
brioche-cinnamon-rolls,5,,salt,salt,1 ½ tsp salt,salt,salt
brioche-cinnamon-rolls,6,,unsalted butter room temperature and cut into cubes,unsalted butter room temperature and cut into cubes,230 g unsalted butter room temperature and cut into cubes,unsalted butter room temperature and cut into cubes,unsalted butter room temperature and cut into cubes
brioche-cinnamon-rolls,8,,unsalted butter softened,unsalted butter softened,75 g unsalted butter softened,unsalted butter softened,unsalted butter softened
brioche-cinnamon-rolls,9,,soft brown sugar,soft brown sugar,100 g soft brown sugar,soft brown sugar,soft brown sugar
brioche-cinnamon-rolls,10,,ground cinnamon,ground cinnamon,1 Tbsp ground cinnamon,ground cinnamon,ground cinnamon
brioche-cinnamon-rolls,12,,cream cheese room temperature,cream cheese room temperature,60 g cream cheese room temperature,cream cheese room temperature,cream cheese room temperature
brioche-cinnamon-rolls,13,,confectioners sugar,confectioners sugar,150 g confectioners sugar,confectioners sugar,confectioners sugar
brioche-cinnamon-rolls,14,,milk at room temperature,milk at room temperature,2 Tbsp milk at room temperature,milk at room temperature,milk at room temperature
brioche-cinnamon-rolls,15,,vanilla extract,vanilla extract,1/2 tsp vanilla extract,vanilla extract,vanilla extract
bulgogi-bowls,0,,beef mince (ground beef),beef mince (ground beef),500g / 1 lb beef mince (ground beef),beef mince (ground beef),beef mince (ground beef)
bulgogi-bowls,9,,brown sugar,brown sugar,1 tbsp brown sugar,brown sugar,brown sugar
bulgogi-bowls,10,,black pepper,black pepper,1/8 tsp black pepper,black pepper,black pepper
bulgogi-bowls,14,,brown sugar,brown sugar,2 tsp brown sugar,brown sugar,brown sugar
cauliflower-soup,0,,olive oil,olive oil,3 tablespoons olive oil,olive oil,olive oil
cauliflower-soup,4,,hot water,hot water,5½ cups (1.3L) hot water,hot water,hot water
chicago-style-italian-beef-pot-roast-sandwich,1,,Bottom Round of Beef,Bottom Round of Beef,4-5 pound Bottom Round of Beef,Bottom Round of Beef,Bottom Round of Beef
chicago-style-italian-beef-pot-roast-sandwich,2,,Italian Spice Mix,Italian Spice Mix,3/4 cup Italian Spice Mix,Italian Spice Mix,Italian Spice Mix
chicago-style-italian-beef-pot-roast-sandwich,3,,of Good Homemade Beef Stock (or high quality store bought),of Good Homemade Beef Stock (or high quality store bought),8 cups of Good Homemade Beef Stock (or high quality store bought),of Good Homemade Beef Stock (or high quality store bought),of Good Homemade Beef Stock (or high quality store bought)
chicago-style-italian-beef-pot-roast-sandwich,4,,"Garlic Head, Sliced In Half","Garlic Head, Sliced In Half","1 Garlic Head, Sliced In Half","Garlic Head, Sliced In Half","Garlic Head, Sliced In Half"
chicago-style-italian-beef-pot-roast-sandwich,9,,Fennel Seeds,Fennel Seeds,1.5 Tbsp Fennel Seeds,Fennel Seeds,Fennel Seeds
chicago-style-italian-beef-pot-roast-sandwich,10,,Coriander Seeds,Coriander Seeds,2 tsp Coriander Seeds,Coriander Seeds,Coriander Seeds
chicago-style-italian-beef-pot-roast-sandwich,11,,Sweet Paprika,Sweet Paprika,2 Tbsp Sweet Paprika,Sweet Paprika,Sweet Paprika
chicago-style-italian-beef-pot-roast-sandwich,12,,Dried Oregano,Dried Oregano,2.5 Tbsp Dried Oregano,Dried Oregano,Dried Oregano
chicago-style-italian-beef-pot-roast-sandwich,13,,Dried Basil,Dried Basil,2.5 Tbsp Dried Basil,Dried Basil,Dried Basil
chicago-style-italian-beef-pot-roast-sandwich,14,,Dried Thyme,Dried Thyme,2.5 Tbsp Dried Thyme,Dried Thyme,Dried Thyme
chicago-style-italian-beef-pot-roast-sandwich,15,,Red Chili Flake,Red Chili Flake,1.5 Tbsp Red Chili Flake,Red Chili Flake,Red Chili Flake
chicago-style-italian-beef-pot-roast-sandwich,16,,Black Peppercorns,Black Peppercorns,1.5 Tbsp Black Peppercorns,Black Peppercorns,Black Peppercorns
cinnamon-scones,1,,all-purpose flour,all-purpose flour,281 g all-purpose flour,all-purpose flour,all-purpose flour
cinnamon-scones,2,,baking powder,baking powder,3 teaspoons baking powder,baking powder,baking powder
cinnamon-scones,3,,salt*,salt*,¼ teaspoon salt*,salt*,salt*
cinnamon-scones,4,,cinnamon,cinnamon,1 ½ teaspoons cinnamon,cinnamon,cinnamon
cinnamon-scones,5,,butter (cold),butter (cold),113 g butter (cold),butter (cold),butter (cold)
cinnamon-scones,6,,eggs (cold),eggs (cold),2 eggs (cold),eggs (cold),eggs (cold)
cinnamon-scones,7,,cream (cold),cream (cold),121 g cream (cold),cream (cold),cream (cold)
cinnamon-scones,8,,brown sugar (lightly packed),brown sugar (lightly packed),55 g brown sugar (lightly packed),brown sugar (lightly packed),brown sugar (lightly packed)
cinnamon-scones,9,,vanilla,vanilla,½ teaspoon vanilla,vanilla,vanilla
cinnamon-scones,11,,powdered / icing sugar,powdered / icing sugar,60 g powdered / icing sugar,powdered / icing sugar,powdered / icing sugar
cinnamon-scones,12,,vanilla,vanilla,½ teaspoon vanilla,vanilla,vanilla
cinnamon-scones,13,,maple syrup,maple syrup,2 tablespoons maple syrup,maple syrup,maple syrup
cinnamon-scones,14,,cream,cream,½ tablespoon cream,cream,cream
coconut-curried-golden-lentils,1,,water,water,4 cups water,water,water
coconut-curried-golden-lentils,2,,golden (yellow) lentils (rinsed and drained // or sub red with similar cook time or green with longer cooking time),golden (yellow) lentils (rinsed and drained // or sub red with similar cook time or green with longer cooking time),1 1/2 cups golden (yellow) lentils (rinsed and drained // or sub red with similar cook time or green with longer cooking time),golden (yellow) lentils (rinsed and drained // or sub red with similar cook time or green with longer cooking time),golden (yellow) lentils (rinsed and drained // or sub red with similar cook time or green with longer cooking time)
